timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753830688,cc:ba:97:e1:36:0e,-72,ESP32_56979278,242,0,0,NORMAL
1753830707,cc:ba:97:e1:36:0e,-87,ESP32_54424253,242,23,0,NORMAL
1753830725,cc:ba:97:e1:36:0e,-75,ESP32_72258395,242,41,0,NORMAL
1753830744,cc:ba:97:e1:36:0e,-82,ESP32_54396265,242,60,0,NORMAL
1753830762,cc:ba:97:e1:36:0e,-72,ESP32_42858865,242,78,0,NORMAL
1753830788,cc:ba:97:e1:36:0e,-74,ESP32_44729977,1412,104,0,NORMAL
1753830806,cc:ba:97:e1:36:0e,-73,ESP32_16348047,1412,122,0,NORMAL
1753830825,cc:ba:97:e1:36:0e,-72,ESP32_76462458,1412,141,0,NORMAL
1753830843,cc:ba:97:e1:36:0e,-73,ESP32_30631412,1412,159,0,NORMAL
1753830862,cc:ba:97:e1:36:0e,-73,ESP32_92088011,1412,178,0,NORMAL
1753830887,cc:ba:97:e1:36:0e,-70,ESP32_04392096,742,203,0,NORMAL
1753830905,cc:ba:97:e1:36:0e,-71,ESP32_24578565,742,221,0,NORMAL
1753830926,cc:ba:97:e1:36:0e,-71,ESP32_25360503,742,242,0,NORMAL
1753830943,cc:ba:97:e1:36:0e,-70,ESP32_80839638,742,259,0,NORMAL
1753830962,cc:ba:97:e1:36:0e,-70,ESP32_00380551,742,278,0,NORMAL
1753830987,cc:ba:97:e1:36:0e,-79,ESP32_82736608,652,303,0,NORMAL
1753831006,cc:ba:97:e1:36:0e,-75,ESP32_90154695,652,322,0,NORMAL
1753831024,cc:ba:97:e1:36:0e,-71,ESP32_92088011,652,340,0,NORMAL
1753831043,cc:ba:97:e1:36:0e,-70,ESP32_70410617,652,359,0,NORMAL
1753831061,cc:ba:97:e1:36:0e,-74,ESP32_24943472,652,377,0,NORMAL
1753831080,cc:ba:97:e1:36:0e,-74,ESP32_14343214,652,395,0,NORMAL
1753831087,cc:ba:97:e1:36:0e,-79,ESP32_83756608,652,406,0,NORMAL
1753831096,cc:ba:97:e1:36:0e,-75,ESP32_20151695,397,422,0,NORMAL
1753831124,cc:ba:97:e1:36:0e,-71,ESP32_93088113,397,441,0,NORMAL
1753831143,cc:ba:97:e1:36:0e,-70,ESP32_10410615,397,456,0,NORMAL
1753831161,cc:ba:97:e1:36:0e,-74,ESP32_22943475,397,474,0,NORMAL
1753831180,cc:ba:97:e1:36:0e,-74,ESP32_14343211,397,496,0,NORMAL
