
timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus,distanceInMeter
1753828700,cc:ba:97:e1:36:0e,-54,ESP32_40557654,451,1616,1399,EXPOSURE,4
1753828719,cc:ba:97:e1:36:0e,-65,ESP32_04043685,451,1635,1418,EXPOSURE,4
1753828737,cc:ba:97:e1:36:0e,-76,ESP32_66146472,451,1653,1418,EXPOSURE,4
1753828755,cc:ba:97:e1:36:0e,-60,ESP32_80761867,451,1671,1418,EXPOSURE,4
1753828780,cc:ba:97:e1:36:0e,-61,ESP32_79588355,1752,1696,1443,EXPOSURE,4
1753828800,cc:ba:97:e1:36:0e,-64,ESP32_00802271,1752,1716,1443,EXPOSURE,4
1753828818,cc:ba:97:e1:36:0e,-61,ESP32_64647125,1752,1734,1443,EXPOSURE,4
1753828836,cc:ba:97:e1:36:0e,-62,ESP32_52259402,1752,1752,1443,EXPOSURE,4
1753828855,cc:ba:97:e1:36:0e,-61,ESP32_42774026,1752,1771,1443,EXPOSURE,4
1753828880,cc:ba:97:e1:36:0e,-64,ESP32_38143356,562,1796,1443,EXPOSURE,4
1753828899,cc:ba:97:e1:36:0e,-63,ESP32_56838771,562,1815,1443,EXPOSURE,4
1753828917,cc:ba:97:e1:36:0e,-63,ESP32_44923438,562,1833,1443,EXPOSURE,4
1753828935,cc:ba:97:e1:36:0e,-63,ESP32_10257143,562,1851,1443,EXPOSURE,4
1753828956,cc:ba:97:e1:36:0e,-63,ESP32_15065270,562,1872,1443,EXPOSURE,4
1753828981,cc:ba:97:e1:36:0e,-63,ESP32_12933563,2292,1897,1443,EXPOSURE,4
1753828981,f0:1a:a0:6e:9c:6a,-73,ESP32_12933563,2292,1542,0,NORMAL,4
1753829000,cc:ba:97:e1:36:0e,-66,ESP32_30883014,2292,1916,1443,EXPOSURE,4
1753829018,cc:ba:97:e1:36:0e,-62,ESP32_70338895,2292,1934,1443,EXPOSURE,4
1753829037,cc:ba:97:e1:36:0e,-64,ESP32_26344395,2292,1953,1443,EXPOSURE,4
1753829055,c8:16:dd:dd:e8:bf,-100,ESP32_42774026,2292,0,0,NORMAL,4
1753829055,cc:ba:97:e1:36:0e,-64,ESP32_42774026,2292,1971,1443,EXPOSURE,4
1753829488,cc:ba:97:e1:36:0e,-75,ESP32_22678078,652,2404,1538,EXPOSURE,7
1753829507,cc:ba:97:e1:36:0e,-74,ESP32_34537863,652,2423,1538,EXPOSURE,7
1753829525,cc:ba:97:e1:36:0e,-70,ESP32_22353113,652,2441,1538,EXPOSURE,7
1753829544,cc:ba:97:e1:36:0e,-74,ESP32_56912409,652,2460,1538,EXPOSURE,7
1753829562,cc:ba:97:e1:36:0e,-74,ESP32_92804283,652,2478,1538,EXPOSURE,7
1753829590,cc:ba:97:e1:36:0e,-70,ESP32_36480976,613,2506,1538,EXPOSURE,7
1753829607,cc:ba:97:e1:36:0e,-64,ESP32_56044854,613,2523,1538,EXPOSURE,7
1753829626,cc:ba:97:e1:36:0e,-64,ESP32_14528969,613,2542,1538,EXPOSURE,7
1753829644,cc:ba:97:e1:36:0e,-72,ESP32_96775395,613,2560,1538,EXPOSURE,7
1753829663,cc:ba:97:e1:36:0e,-79,ESP32_82652871,613,2579,1538,EXPOSURE,7
1753829688,2f:48:8d:96:6a:6a,-70,ESP32_44945743,143,0,0,NORMAL,7
1753829688,cc:ba:97:e1:36:0e,-75,ESP32_44945743,143,2604,1538,EXPOSURE,7
1753829707,cc:ba:97:e1:36:0e,-70,ESP32_20312702,143,2623,1538,EXPOSURE,7
1753829726,cc:ba:97:e1:36:0e,-65,ESP32_32457042,143,2642,1538,EXPOSURE,7
1753829744,cc:ba:97:e1:36:0e,-69,ESP32_04392096,143,2660,1538,EXPOSURE,7
1753829763,cc:ba:97:e1:36:0e,-70,ESP32_51084258,143,2679,1538,EXPOSURE,7
1753829788,cc:ba:97:e1:36:0e,-69,ESP32_56128880,432,2704,1538,EXPOSURE,7
1753829788,fb:38:a9:eb:98:25,-93,ESP32_56128880,432,0,0,NORMAL,7
1753829807,cc:ba:97:e1:36:0e,-74,ESP32_95440879,432,2723,1538,EXPOSURE,7
1753829825,cc:ba:97:e1:36:0e,-64,ESP32_98913776,432,2741,1538,EXPOSURE,7
1753829844,cc:ba:97:e1:36:0e,-75,ESP32_82587206,432,2760,1538,EXPOSURE,7
1753829862,cc:ba:97:e1:36:0e,-73,ESP32_68242182,432,2778,1538,EXPOSURE,7
1753830688,cc:ba:97:e1:36:0e,-72,ESP32_56979278,242,3604,1538,EXPOSURE,10
1753830707,cc:ba:97:e1:36:0e,-87,ESP32_54424253,242,3623,1538,EXPOSURE,10
1753830725,cc:ba:97:e1:36:0e,-75,ESP32_72258395,242,3641,1538,EXPOSURE,10
1753830744,cc:ba:97:e1:36:0e,-82,ESP32_54396265,242,3660,1538,EXPOSURE,10
1753830762,cc:ba:97:e1:36:0e,-72,ESP32_42858865,242,3678,1538,EXPOSURE,10
1753830788,cc:ba:97:e1:36:0e,-74,ESP32_44729977,1412,3704,1538,EXPOSURE,10
1753830806,cc:ba:97:e1:36:0e,-73,ESP32_16348047,1412,3722,1538,EXPOSURE,10
1753830825,cc:ba:97:e1:36:0e,-72,ESP32_76462458,1412,3741,1538,EXPOSURE,10
1753830843,cc:ba:97:e1:36:0e,-73,ESP32_30631412,1412,3759,1538,EXPOSURE,10
1753830862,cc:ba:97:e1:36:0e,-73,ESP32_92088011,1412,3778,1538,EXPOSURE,10
1753830887,18:54:57:57:9a:48,-70,ESP32_04392096,742,0,0,NORMAL,10
1753830887,cc:ba:97:e1:36:0e,-70,ESP32_04392096,742,3803,1538,EXPOSURE,10
1753830905,cc:ba:97:e1:36:0e,-71,ESP32_24578565,742,3821,1538,EXPOSURE,10
1753830926,cc:ba:97:e1:36:0e,-71,ESP32_25360503,742,3842,1538,EXPOSURE,10
1753830943,18:54:57:57:9a:48,-59,ESP32_80839638,742,0,0,NORMAL,10
1753830943,cc:ba:97:e1:36:0e,-70,ESP32_80839638,742,3859,1538,EXPOSURE,10
1753830943,f0:1a:a0:9d:e9:4d,-85,ESP32_80839638,742,0,0,NORMAL,10
1753830962,cc:5f:de:26:43:0a,-95,ESP32_00380551,742,0,0,NORMAL,10
1753830962,cc:ba:97:e1:36:0e,-70,ESP32_00380551,742,3878,1538,EXPOSURE,10
1753830987,cc:ba:97:e1:36:0e,-79,ESP32_82736608,652,3903,1538,EXPOSURE,10
1753831006,cc:ba:97:e1:36:0e,-75,ESP32_90154695,652,3922,1538,EXPOSURE,10
1753831024,cc:ba:97:e1:36:0e,-71,ESP32_92088011,652,3940,1538,EXPOSURE,10
1753831043,cc:ba:97:e1:36:0e,-70,ESP32_70410617,652,3959,1538,EXPOSURE,10
1753831061,cc:ba:97:e1:36:0e,-74,ESP32_24943472,652,3977,1538,EXPOSURE,10
