timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753830287,cc:ba:97:e1:36:0e,-74,ESP32_26582813,402,3203,1538,EXPOSURE
1753830305,37:f5:80:67:64:07,-61,ESP32_32523425,402,0,0,NORMAL
1753830305,cc:ba:97:e1:36:0e,-72,ESP32_32523425,402,3221,1538,EXPOSURE
1753830324,cc:ba:97:e1:36:0e,-79,ESP32_18838923,402,3240,1538,EXPOSURE
1753830342,cc:ba:97:e1:36:0e,-62,ESP32_36192883,402,3258,1538,EXPOSURE
1753830361,cc:ba:97:e1:36:0e,-65,ESP32_24578565,402,3277,1538,EXPOSURE
1753830387,cc:ba:97:e1:36:0e,-64,ESP32_30631412,2343,3303,1538,EXPOSURE
1753830406,cc:ba:97:e1:36:0e,-73,ESP32_92088011,2343,3322,1538,EXPOSURE
1753830424,cc:ba:97:e1:36:0e,-65,ESP32_80839638,2343,3340,1538,EXPOSURE
1753830424,fb:38:a9:eb:98:25,-94,ESP32_80839638,2343,0,0,NORMAL
1753830442,cc:ba:97:e1:36:0e,-64,ESP32_28664023,2343,3358,1538,EXPOSURE
1753830461,cc:ba:97:e1:36:0e,-65,ESP32_92088011,2343,3377,1538,EXPOSURE
1753830487,cc:ba:97:e1:36:0e,-64,ESP32_96775395,1633,3403,1538,EXPOSURE
1753830509,cc:ba:97:e1:36:0e,-91,ESP32_28386447,1633,3425,1538,EXPOSURE
1753830526,cc:ba:97:e1:36:0e,-67,ESP32_18157841,1633,3442,1538,EXPOSURE
1753830544,37:f5:80:67:64:07,-61,ESP32_76613266,1633,0,0,NORMAL
1753830544,cc:ba:97:e1:36:0e,-64,ESP32_76613266,1633,3460,1538,EXPOSURE
1753830562,37:f5:80:67:64:07,-55,ESP32_04027623,1633,0,0,NORMAL
1753830563,cc:ba:97:e1:36:0e,-67,ESP32_04027623,1633,3479,1538,EXPOSURE
1753830590,cc:ba:97:e1:36:0e,-80,ESP32_09275318,1513,3506,1538,EXPOSURE
1753830590,f0:1a:a0:9d:e8:a2,-82,ESP32_09275318,1513,3351,0,NORMAL
1753830608,cc:ba:97:e1:36:0e,-68,ESP32_92088011,1513,3524,1538,EXPOSURE
1753830626,cc:ba:97:e1:36:0e,-64,ESP32_96775395,1513,3542,1538,EXPOSURE
1753830645,cc:ba:97:e1:36:0e,-69,ESP32_06098635,1513,3561,1538,EXPOSURE
1753830663,cc:ba:97:e1:36:0e,-72,ESP32_28018821,1513,3579,1538,EXPOSURE
