timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753827882,cc:ba:97:e1:36:0e,-60,ESP32_00828232,502,798,718,EXPOSURE
1753827901,cc:ba:97:e1:36:0e,-61,ESP32_44769182,502,817,737,EXPOSURE
1753827919,cc:ba:97:e1:36:0e,-67,ESP32_70236288,502,835,755,EXPOSURE
1753827938,3b:d6:bf:6d:06:83,-70,ESP32_80687831,502,0,0,NORMAL
1753827938,cc:ba:97:e1:36:0e,-69,ESP32_80687831,502,854,774,EXPOSURE
1753827956,cc:ba:97:e1:36:0e,-59,ESP32_82483268,502,872,792,EXPOSURE
1753827981,cc:ba:97:e1:36:0e,-63,ESP32_94949856,592,897,817,EXPOSURE
1753828000,cc:ba:97:e1:36:0e,-69,ESP32_52259402,592,916,836,EXPOSURE
1753828021,cc:ba:97:e1:36:0e,-65,ESP32_16200283,592,937,836,EXPOSURE
1753828037,3b:d6:bf:6d:06:83,-79,ESP32_36417250,592,0,0,NORMAL
1753828038,cc:ba:97:e1:36:0e,-58,ESP32_36417250,592,954,836,EXPOSURE
1753828038,f0:1a:a0:9d:e5:54,-82,ESP32_36417250,592,781,0,NORMAL
1753828056,cc:ba:97:e1:36:0e,-72,ESP32_22353113,592,972,854,EXPOSURE
1753828082,cc:ba:97:e1:36:0e,-62,ESP32_78438409,602,998,854,EXPOSURE
1753828100,cc:ba:97:e1:36:0e,-57,ESP32_80761867,602,1016,854,EXPOSURE
1753828118,3b:d6:bf:6d:06:83,-73,ESP32_36417250,602,0,0,NORMAL
1753828119,cc:ba:97:e1:36:0e,-59,ESP32_36417250,602,1035,873,EXPOSURE
1753828137,cc:ba:97:e1:36:0e,-62,ESP32_80985093,602,1053,891,EXPOSURE
1753828156,cc:ba:97:e1:36:0e,-55,ESP32_92804283,602,1072,891,EXPOSURE
1753828183,cc:ba:97:e1:36:0e,-62,ESP32_80909411,662,1099,918,EXPOSURE
1753828201,cc:ba:97:e1:36:0e,-57,ESP32_30631412,662,1117,918,EXPOSURE
1753828220,cc:ba:97:e1:36:0e,-56,ESP32_80687831,662,1136,937,EXPOSURE
1753828239,cc:ba:97:e1:36:0e,-67,ESP32_46396927,662,1155,956,EXPOSURE
1753828239,f0:1a:a0:9d:e8:a2,-80,ESP32_46396927,662,1000,0,NORMAL
1753828257,cc:ba:97:e1:36:0e,-53,ESP32_22902019,662,1173,956,EXPOSURE
1753828257,f0:1a:a0:6e:9c:6a,-79,ESP32_22902019,662,818,0,NORMAL
