timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753829888,cc:ba:97:e1:36:0e,-88,ESP32_54173841,1083,2804,1538,EXPOSURE
1753829907,cc:ba:97:e1:36:0e,-81,ESP32_94949856,1083,2823,1538,EXPOSURE
1753829925,cc:ba:97:e1:36:0e,-61,ESP32_70234956,1083,2841,1538,EXPOSURE
1753829944,01:ca:c6:44:aa:f7,-77,ESP32_54248414,1083,0,0,NORMAL
1753829944,cc:ba:97:e1:36:0e,-80,ESP32_54248414,1083,2860,1538,EXPOSURE
1753829962,cc:ba:97:e1:36:0e,-69,ESP32_02203984,1083,2878,1538,EXPOSURE
1753829988,cc:ba:97:e1:36:0e,-71,ESP32_28664023,562,2904,1538,EXPOSURE
1753830008,cc:ba:97:e1:36:0e,-73,ESP32_28169882,562,2924,1538,EXPOSURE
1753830026,cc:ba:97:e1:36:0e,-81,ESP32_34329154,562,2942,1538,EXPOSURE
1753830044,cc:ba:97:e1:36:0e,-70,ESP32_18599448,562,2960,1538,EXPOSURE
1753830063,cc:ba:97:e1:36:0e,-71,ESP32_04043685,562,2979,1538,EXPOSURE
1753830088,cc:ba:97:e1:36:0e,-71,ESP32_38809890,532,3004,1538,EXPOSURE
1753830107,cc:ba:97:e1:36:0e,-79,ESP32_85271478,532,3023,1538,EXPOSURE
1753830125,cc:ba:97:e1:36:0e,-72,ESP32_12605537,532,3041,1538,EXPOSURE
1753830144,cc:ba:97:e1:36:0e,-82,ESP32_52273454,532,3060,1538,EXPOSURE
1753830162,cc:ba:97:e1:36:0e,-72,ESP32_04392096,532,3078,1538,EXPOSURE
1753830187,cc:ba:97:e1:36:0e,-80,ESP32_04278035,592,3103,1538,EXPOSURE
1753830206,cc:ba:97:e1:36:0e,-75,ESP32_18239773,592,3122,1538,EXPOSURE
1753830225,cc:ba:97:e1:36:0e,-78,ESP32_82652871,592,3141,1538,EXPOSURE
1753830243,cc:ba:97:e1:36:0e,-79,ESP32_02327255,592,3159,1538,EXPOSURE
1753830262,cc:ba:97:e1:36:0e,-73,ESP32_56128880,592,3178,1538,EXPOSURE
