timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753827484,cc:ba:97:e1:36:0e,-50,ESP32_73592757,302,0,0,NORMAL
1753827502,cc:ba:97:e1:36:0e,-48,ESP32_92804283,302,18,18,NORMAL
1753827520,cc:ba:97:e1:36:0e,-51,ESP32_80761867,302,36,36,NORMAL
1753827539,cc:ba:97:e1:36:0e,-49,ESP32_43064375,302,55,55,NORMAL
1753827558,cc:ba:97:e1:36:0e,-71,ESP32_32123425,302,62,55,NORMAL
1753827568,cc:ba:97:e1:36:0e,-96,ESP32_11521425,302,70,55,NORMAL
1753827578,cc:ba:97:e1:36:0e,-56,ESP32_32523425,302,79,74,NORMAL
1753827598,cc:ba:97:e1:36:0e,-100,ESP32_42523425,302,98,74,NORMAL
1753827622,cc:ba:97:e1:36:0e,-74,ESP32_18091286,472,114,74,NORMAL
1753827663,cc:ba:97:e1:36:0e,-54,ESP32_18091286,472,139,89,NORMAL
1753827681,cc:ba:97:e1:36:0e,-55,ESP32_20312702,472,157,107,NORMAL
1753827701,cc:ba:97:e1:36:0e,-97,ESP32_20312702,472,172,107,NORMAL
1753827720,cc:ba:97:e1:36:0e,-55,ESP32_16360671,472,196,123,NORMAL
1753827737,cc:ba:97:e1:36:0e,-93,ESP32_3417250,472,221,123,NORMAL
1753827738,cc:ba:97:e1:36:0e,-54,ESP32_3627251,472,254,139,NORMAL
1753827767,cc:ba:97:e1:36:0e,-55,ESP32_42023042,472,173,153,NORMAL
1753827793,cc:ba:97:e1:36:0e,-51,ESP32_18062882,1244,199,179,NORMAL
1753827811,cc:ba:97:e1:36:0e,-51,ESP32_23172899,1244,217,197,NORMAL
1753827830,cc:ba:97:e1:36:0e,-56,ESP32_82558923,1244,236,212,NORMAL
1753827848,cc:ba:97:e1:36:0e,-52,ESP32_78438409,1244,254,224,NORMAL
1753827857,cc:ba:97:e1:36:0e,-64,ESP32_11671237,1244,261,224,NORMAL
1753827867,cc:ba:97:e1:36:0e,-52,ESP32_21377349,1244,273,243,NORMAL
1753827878,cc:ba:97:e1:36:0e,-54,ESP32_36411250,772,294,264,NORMAL
1753827857,cc:ba:97:e1:36:0e,-55,ESP32_14023042,772,313,283,EXPOSURE
1753827883,cc:ba:97:e1:36:0e,-51,ESP32_98565882,772,339,301,EXPOSURE
1753827901,cc:ba:97:e1:36:0e,-51,ESP32_33172929,772,357,317,EXPOSURE
1753827920,cc:ba:97:e1:36:0e,-56,ESP32_15558921,339,376,331,EXPOSURE
1753827938,cc:ba:97:e1:36:0e,-52,ESP32_43418409,339,394,344,EXPOSURE
1753827957,cc:ba:97:e1:36:0e,-64,ESP32_64673547,339,411,344,NORMAL
1753827957,cc:ba:97:e1:36:0e,-52,ESP32_21177267,339,433,363,EXPOSURE
