timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753830305,cc:ba:97:e1:36:0e,-60,ESP32_32523425,402,0,0,NORMAL
1753830315,cc:ba:97:e1:36:0e,-72,ESP32_32523425,402,21,0,NORMAL
1753830324,cc:ba:97:e1:36:0e,-79,ESP32_18838923,402,40,0,NORMAL
1753830342,cc:ba:97:e1:36:0e,-62,ESP32_36192883,402,58,0,NORMAL
1753830361,cc:ba:97:e1:36:0e,-65,ESP32_24578565,402,77,0,NORMAL
1753830387,cc:ba:97:e1:36:0e,-64,ESP32_30631412,402,103,0,NORMAL
1753830406,cc:ba:97:e1:36:0e,-73,ESP32_92088011,2343,122,0,NORMAL
1753830424,cc:ba:97:e1:36:0e,-65,ESP32_81839638,2343,137,0,NORMAL
1753830434,fb:38:a9:eb:98:25,-94,ESP32_80229239,2343,149,0,NORMAL
1753830442,cc:ba:97:e1:36:0e,-64,ESP32_28664023,2343,158,0,NORMAL
1753830461,cc:ba:97:e1:36:0e,-65,ESP32_94082011,2343,177,0,NORMAL
1753830487,cc:ba:97:e1:36:0e,-64,ESP32_96775395,2343,201,0,NORMAL
1753830509,cc:ba:97:e1:36:0e,-91,ESP32_28386447,2343,222,0,NORMAL
1753830526,cc:ba:97:e1:36:0e,-67,ESP32_18157841,1633,240,0,NORMAL
1753830544,cc:ba:97:e1:36:0e,-61,ESP32_16313567,1633,250,0,NORMAL
1753830554,cc:ba:97:e1:36:0e,-64,ESP32_76613266,1633,260,0,NORMAL
1753830562,cc:ba:97:e1:36:0e,-55,ESP32_04027123,1633,272,0,NORMAL
1753830563,cc:ba:97:e1:36:0e,-67,ESP32_14227621,1633,284,0,NORMAL
1753830570,cc:ba:97:e1:36:0e,-80,ESP32_09272315,1633,306,0,NORMAL
1753830590,cc:ba:97:e1:36:0e,-82,ESP32_15275311,1633,321,0,NORMAL
1753830608,cc:ba:97:e1:36:0e,-68,ESP32_92018551,1633,339,0,NORMAL
1753830626,cc:ba:97:e1:36:0e,-60,ESP32_96721395,1513,352,19,EXPOSURE
1753830645,cc:ba:97:e1:36:0e,-69,ESP32_06098635,1513,371,19,NORMAL
1753830663,cc:ba:97:e1:36:0e,-72,ESP32_28018821,1513,399,19,NORMAL
1753830687,cc:ba:97:e1:36:0e,-74,ESP32_26582813,1513,403,19,NORMAL
1753830703,cc:ba:97:e1:36:0e,-72,ESP32_18011821,1513,426,19,NORMAL
1753830727,cc:ba:97:e1:36:0e,-67,ESP32_89682813,1513,443,19,NORMAL
