timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753829888,cc:ba:97:e1:36:0e,-88,ESP32_54173841,1083,0,0,NORMAL
1753829907,cc:ba:97:e1:36:0e,-81,ESP32_94949856,1083,23,0,NORMAL
1753829925,cc:ba:97:e1:36:0e,-61,ESP32_70234956,1083,41,0,NORMAL
1753829944,cc:ba:97:e1:36:0e,-77,ESP32_54248414,1083,51,0,NORMAL
1753829944,cc:ba:97:e1:36:0e,-80,ESP32_52248414,1083,60,0,NORMAL
1753829962,cc:ba:97:e1:36:0e,-69,ESP32_02203984,1083,78,0,NORMAL
1753829988,cc:ba:97:e1:36:0e,-71,ESP32_28664023,562,104,0,NORMAL
1753830008,cc:ba:97:e1:36:0e,-73,ESP32_28169882,562,124,0,NORMAL
1753830026,cc:ba:97:e1:36:0e,-81,ESP32_34329154,562,142,0,NORMAL
1753830044,cc:ba:97:e1:36:0e,-70,ESP32_18599448,562,160,0,NORMAL
1753830063,cc:ba:97:e1:36:0e,-71,ESP32_04043685,562,179,0,NORMAL
1753830088,cc:ba:97:e1:36:0e,-71,ESP32_38809890,532,204,0,NORMAL
1753830107,cc:ba:97:e1:36:0e,-79,ESP32_85271478,532,223,0,NORMAL
1753830125,cc:ba:97:e1:36:0e,-72,ESP32_12605537,532,241,0,NORMAL
1753830144,cc:ba:97:e1:36:0e,-82,ESP32_52273454,532,260,0,NORMAL
1753830162,cc:ba:97:e1:36:0e,-72,ESP32_04392096,532,278,0,NORMAL
1753830187,cc:ba:97:e1:36:0e,-80,ESP32_04278035,592,303,0,NORMAL
1753830206,cc:ba:97:e1:36:0e,-75,ESP32_18239773,592,322,0,NORMAL
1753830225,cc:ba:97:e1:36:0e,-78,ESP32_82152871,592,341,0,NORMAL
1753830243,cc:ba:97:e1:36:0e,-79,ESP32_02317255,592,359,0,NORMAL
1753830262,cc:ba:97:e1:36:0e,-73,ESP32_56121880,592,378,0,NORMAL
1753830187,cc:ba:97:e1:36:0e,-80,ESP32_04278235,921,402,0,NORMAL
1753830206,cc:ba:97:e1:36:0e,-75,ESP32_18239273,921,423,0,NORMAL
1753830225,cc:ba:97:e1:36:0e,-78,ESP32_82652171,921,445,0,NORMAL
1753830243,cc:ba:97:e1:36:0e,-79,ESP32_02345255,921,456,0,NORMAL
1753830262,cc:ba:97:e1:36:0e,-73,ESP32_56118880,921,474,0,NORMAL
