timeStamp,peerId,rssi,deviceId,uploadDuration,contactDuration,closeContactDuration,exposureStatus
1753828655,cc:ba:97:e2:ae:b6,-56,ESP32_84047199,1002,0,0,NORMAL,4
1753828674,cc:ba:97:e2:ae:b6,-59,ESP32_90235113,1002,10,10,NORMAL,4
1753828692,cc:ba:97:e2:ae:b6,-53,ESP32_78362844,1002,28,28,NORMAL,4
1753828711,cc:ba:97:e2:ae:b6,-63,ESP32_58449605,1002,47,28,NORMAL,4
1753828729,cc:ba:97:e2:ae:b6,-64,ESP32_06968926,1002,65,28,NORMAL,4
1753828754,cc:ba:97:e2:ae:b6,-59,ESP32_20218438,622,90,47,NORMAL,4
1753828772,cc:ba:97:e2:ae:b6,-61,ESP32_36895542,622,108,47,NORMAL,4
1753828791,cc:ba:97:e2:ae:b6,-63,ESP32_06842864,622,127,47,NORMAL,4
1753828809,cc:ba:97:e2:ae:b6,-61,ESP32_40958497,622,145,47,NORMAL,4
1753828828,cc:ba:97:e2:ae:b6,-61,ESP32_38994724,622,164,47,NORMAL,4
1753828854,cc:ba:97:e2:ae:b6,-60,ESP32_35764889,512,190,63,NORMAL,4
1753828875,cc:ba:97:e2:ae:b6,-63,ESP32_70854351,512,211,63,NORMAL,4
1753828892,cc:ba:97:e2:ae:b6,-61,ESP32_53576138,512,228,63,NORMAL,4
1753828910,cc:ba:97:e2:ae:b6,-61,ESP32_28568870,512,246,63,NORMAL,4
1753828929,cc:ba:97:e2:ae:b6,-61,ESP32_68479294,512,265,63,NORMAL,4
1753828954,cc:ba:97:e2:ae:b6,-61,ESP32_42689263,752,290,63,NORMAL,4
1753828975,cc:ba:97:e2:ae:b6,-63,ESP32_56935846,752,311,63,NORMAL,4
1753828996,cc:ba:97:e2:ae:b6,-65,ESP32_19705830,752,332,63,NORMAL,4
1753829013,cc:ba:97:e2:ae:b6,-60,ESP32_06098635,752,349,82,EXPOSURE,4
1753829031,cc:ba:97:e2:ae:b6,-61,ESP32_56979278,752,367,82,NORMAL,4
1753829655,cc:ba:97:e2:ae:b6,-56,ESP32_84147199,402,389,101,EXPOSURE,4
1753829674,cc:ba:97:e2:ae:b6,-59,ESP32_92235113,402,410,118,EXPOSURE,4
1753829692,cc:ba:97:e2:ae:b6,-53,ESP32_38362844,402,428,133,EXPOSURE,4
1753829711,cc:ba:97:e2:ae:b6,-63,ESP32_58549605,402,447,133,NORMAL,4
1753829729,cc:ba:97:e2:ae:b6,-64,ESP32_16968926,402,465,133,NORMAL,4
1753829754,cc:ba:97:e2:ae:b6,-59,ESP32_20217438,402,490,149,EXPOSURE,4
